id;bandas;comuna;cut_comuna;region;cut_region;titulo;fuente;url;fecha;bandas_nombre
cfd3103761f6dc948a41fe9079f564ab;tren aragua;NA;NA;NA;NA;"Tren de Aragua: Monsalve asegura que ""hay información plausible"" sobre amenazas de muerte contra jueces";emol;http://www.emol.com/noticias/Nacional/2023/09/08/1106572/monsalve-amenazas-muerte-jueces.html;2023-09-08;Tren de Aragua
a6b76efe37eeb3065301892acf2ebaf8;tren aragua;NA;NA;NA;NA;Tren de Aragua: Monsalve dice que “hay información plausible” sobre amenazas de muerte a jueces;lanacion;https://www.lanacion.cl/tren-de-aragua-monsalve-dice-que-hay-informacion-plausible-sobre-amenazas-de-muerte-a-jueces/;2023-09-08;Tren de Aragua
083b6c3ce49ad33eeb0503e9a7b19c14;tren aragua;Metropolitana de Santiago;NA;Metropolitana de Santiago;NA;Ministro Elizalde y amenazas a jueces: “Bandas organizadas representan un claro peligro para la convivencia en nuestro país”;latercera;https://www.latercera.com/nacional/noticia/ministro-elizalde-y-amenaza-a-jueces-bandas-organizadas-representan-un-claro-peligro-para-la-convivencia-en-nuestro-pais/EZCDDLQBQ5C4ZO6HFWTOBOMZKQ/;2023-09-08;Tren de Aragua
6e7da9e318e77f05093f4b5985dbfdc1;tren aragua;NA;NA;NA;NA;"Asociación de Magistrados por amenazas del Tren de Aragua: ""No nos vamos a dejar amedrentar""";meganoticias;https://www.meganoticias.cl/nacional/424989-asociacion-nacional-magistrados-amenazas-jueces-tren-de-aragua-08-09-2023.html;2023-09-08;Tren de Aragua
ecbcba4f1370bd5bd92e757615f84678;tren aragua;NA;NA;NA;NA;"Amenazas del Tren de Aragua a jueces: Monsalve reconoce que ""hay información plausible"" de que esté sucediendo";meganoticias;https://www.meganoticias.cl/nacional/424928-tren-de-aragua-amenaza-jueces-subsecretario-monsalve-08-09-2023.html;2023-09-08;Tren de Aragua
e72513fecb686937fab4c04fe784de06;tren aragua;NA;NA;NA;NA;“Sabemos donde vives”: Las alarmantes amenazas vinculadas al Tren de Aragua que tiene bajo resguardo policial a 14 jueces;theclinic;https://www.theclinic.cl/2023/09/08/sabemos-donde-vives-la-alarmante-situacion-que-tiene-bajo-resguardo-policial-a-14-jueces-por-amenazas-vinculadas-al-tren-de-aragua/;2023-09-08;Tren de Aragua
3da8b0c549002c7113554f21bb2a67f0;tren aragua;NA;NA;NA;NA;Fiscalía investiga amenazas de muerte hechas por el Tren de Aragua contra jueces de garantía de Santiago;cnnchile;https://www.cnnchile.com/pais/fiscalia-investiga-amenazas-tren-aragua-jueces_20230907/;2023-09-07;Tren de Aragua
d5774eaa9a6a16786919dd8771cbd889;tren aragua;Santiago;13101;Metropolitana de Santiago;13;"""Cruza la línea roja"": Reacciones del mundo político ante amenazas de muerte contra jueces vinculadas al Tren de Aragua";emol;http://www.emol.com/noticias/Nacional/2023/09/07/1106534/reacciones-mundo-politica-amenazas-muerte.html;2023-09-07;Tren de Aragua
a6e78d42e6294fe92661afdf74a09bf5;tren aragua;NA;NA;NA;NA;Investigan amenazas de muerte vinculadas al Tren de Aragua contra jueces;emol;http://www.emol.com/noticias/Nacional/2023/09/07/1106523/investigan-amenazas-muerte-tren-aragua.html;2023-09-07;Tren de Aragua
9408392d7ee2f91bdb7faed8eff28968;tren aragua;Santiago;13101;Metropolitana de Santiago;13;Tribunales investigan amenazas de muerte del Tren de Aragua a jueces;lanacion;https://www.lanacion.cl/tribunales-investigan-amenazas-de-muerte-del-tren-de-aragua-a-jueces/;2023-09-07;Tren de Aragua
